Data File,Category,Sub-Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Dataset Type
C96.substrate_temperature.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
oro_C96.mx100.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,100,.nc,834883,,input-data-20221101
C96.vegetation_greenness.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,525039,,input-data-20221101
C96.slope_type.tile1.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119550,,input-data-20221101
C96.substrate_temperature.tile2.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
C96.substrate_temperature.tile6.nc,NEMSfv3gfs,FV3_fix_tiled,96,,.nc,119595,,input-data-20221101
fv1.9x2.5_141008_ESMFmesh.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,846588,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.2000-01.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,1287709152,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.SCRIP.210520_ESMFmesh.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,16601532,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.Prec.1999-12.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,259202484,,input-data-20221101
topodata_0.9x1.25_USGS_070110_stream_c151201.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,1992888,,input-data-20221101
topodata_0.9x1.SCRIP.210520_ESMFmesh.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,3547832,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.Prec.2000-01.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,259202484,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.Solr.2000-01.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,259202520,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.Solr.1999-12.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,259202520,,input-data-20221101
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.1999-12.nc,NEMSfv3gfs,DATM_GSWP3_input_data,,,.nc,1287709152,,input-data-20221101
ufs-land_C96_init_fields.tile3.nc,NEMSfv3gfs,NOAHMP_IC,96,,.nc,665156,,input-data-20221101
