Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
C96_ERA5_forcing_2020-11-28.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-23.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-21.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-28.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-21.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-21.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-21.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-31.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-28.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-23.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-10.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-28.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-14.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-25.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-31.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-28.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-26.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-10-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-29.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-12-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-23.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-20.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-11.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-16.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-05.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-24.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-09.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-06-30.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-08.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-23.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-04-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-28.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-18.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-01.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-13.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-07.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-05-03.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-22.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-09-15.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-10-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-08-27.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-02-02.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-07-17.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2020-11-04.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-03-19.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-12.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
C96_ERA5_forcing_2021-01-06.nc,inputs,datm,forcing,era5,96,,.nc,12313780,
