Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
C96_GDAS_forcing_2016-01-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-26.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-03.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-11.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-18.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-18.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-09.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-12.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-11.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-19.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-08.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-15.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-09.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-09.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-10.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-18.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-15.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-04.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-01.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-17.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-19.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-13.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-13.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-08.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-22.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-22.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-24.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
