Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),Sub-Category 1,Sub-Category 2,Sub-Category 3,Sub-Category 4,Sub-Category 5
C96.vegetation_greenness.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile1.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
oro_C96.mx100.tile5.nc,Landda_develop_data,input-data-20221101,96,100,.nc,834883,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.substrate_temperature.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119595,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_type.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119480,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_type.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119589,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.snowfree_albedo.tile2.nc,Landda_develop_data,input-data-20221101,96,,.nc,1857404,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile5.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.slope_type.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119550,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.maximum_snow_albedo.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,119490,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.vegetation_greenness.tile6.nc,Landda_develop_data,input-data-20221101,96,,.nc,525039,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.soil_color.tile3.nc,Landda_develop_data,input-data-20221101,96,,.nc,119613,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
C96.facsf.tile4.nc,Landda_develop_data,input-data-20221101,96,,.nc,119545,NEMSfv3gfs,FV3_fix_tiled,C96,inputs,
clmforc.GSWP3.c2011.0.5x0.5.Prec.2000-01.nc,Landda_develop_data,input-data-20221101,,,.nc,259202484,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.1999-12.nc,Landda_develop_data,input-data-20221101,,,.nc,1287709152,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.SCRIP.210520_ESMFmesh.nc,Landda_develop_data,input-data-20221101,,,.nc,16601532,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
clmforc.GSWP3.c2011.0.5x0.5.Solr.1999-12.nc,Landda_develop_data,input-data-20221101,,,.nc,259202520,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
topodata_0.9x1.SCRIP.210520_ESMFmesh.nc,Landda_develop_data,input-data-20221101,,,.nc,3547832,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
topodata_0.9x1.25_USGS_070110_stream_c151201.nc,Landda_develop_data,input-data-20221101,,,.nc,1992888,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
fv1.9x2.5_141008_ESMFmesh.nc,Landda_develop_data,input-data-20221101,,,.nc,846588,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.2000-01.nc,Landda_develop_data,input-data-20221101,,,.nc,1287709152,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
clmforc.GSWP3.c2011.0.5x0.5.Solr.2000-01.nc,Landda_develop_data,input-data-20221101,,,.nc,259202520,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
clmforc.GSWP3.c2011.0.5x0.5.Prec.1999-12.nc,Landda_develop_data,input-data-20221101,,,.nc,259202484,NEMSfv3gfs,DATM_GSWP3_input_data,,inputs,
ufs.cpld.lnd.out.2000-01-02-00000.tile3.nc,Landda_develop_data,develop-20230816,,,.nc,11555364,NEMSfv3gfs,INTEL,datm_cdeps_lnd_gswp3,inputs,
ufs.cpld.lnd.out.2000-01-02-00000.tile6.nc,Landda_develop_data,develop-20230816,,,.nc,11555364,NEMSfv3gfs,INTEL,datm_cdeps_lnd_gswp3,inputs,
ufs.cpld.lnd.out.2000-01-02-00000.tile1.nc,Landda_develop_data,develop-20230816,,,.nc,11555364,NEMSfv3gfs,INTEL,datm_cdeps_lnd_gswp3,inputs,
ufs.cpld.lnd.out.2000-01-02-00000.tile2.nc,Landda_develop_data,develop-20230816,,,.nc,11555364,NEMSfv3gfs,INTEL,datm_cdeps_lnd_gswp3,inputs,
ufs.cpld.lnd.out.2000-01-02-00000.tile5.nc,Landda_develop_data,develop-20230816,,,.nc,11555364,NEMSfv3gfs,INTEL,datm_cdeps_lnd_gswp3,inputs,
ufs.cpld.lnd.out.2000-01-02-00000.tile4.nc,Landda_develop_data,develop-20230816,,,.nc,11555364,NEMSfv3gfs,INTEL,datm_cdeps_lnd_gswp3,inputs,
ne_10m_admin_1_states_provinces_scale_rank.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_1_states_provinces_scale_rank.dbf,Landda_develop_data,shapefiles,,,.dbf,2832,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_sovereignty.prj,Landda_develop_data,shapefiles,,,.prj,143,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_1_states_provinces.shp,Landda_develop_data,shapefiles,,,.shp,537436,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_populated_places.shp,Landda_develop_data,shapefiles,,,.shp,205704,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_disputed_areas.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_0_scale_rank.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_admin_1_states_provinces.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_sovereignty.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_populated_places_simple.prj,Landda_develop_data,shapefiles,,,.prj,147,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_seams.shp,Landda_develop_data,shapefiles,,,.shp,22660,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_time_zones.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_countries.shx,Landda_develop_data,shapefiles,,,.shx,2140,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces_scale_rank.prj,Landda_develop_data,shapefiles,,,.prj,145,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_populated_places.shp,Landda_develop_data,shapefiles,,,.shp,6904,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_maritime_indicator.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_land.shx,Landda_develop_data,shapefiles,,,.shx,3796,NaturalEarth,natural_earth,cultural,inputs,
ne_110m_populated_places_simple.dbf,Landda_develop_data,shapefiles,,,.dbf,437435,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_label_points.README.html,Landda_develop_data,shapefiles,,,.html,24633,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_parks_and_protected_lands_line.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_disputed_areas.prj,Landda_develop_data,shapefiles,,,.prj,145,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_scale_rank.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_ports.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces_scale_rank_minor_islands.shp,Landda_develop_data,shapefiles,,,.shp,21929572,NaturalEarth,natural_earth,cultural,inputs,
ne_50m_admin_0_boundary_lines_maritime_indicator.shx,Landda_develop_data,shapefiles,,,.shx,1748,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_0_boundary_lines_land.VERSION.txt,Landda_develop_data,shapefiles,,,.txt,7,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces_lines.dbf,Landda_develop_data,shapefiles,,,.dbf,14534524,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_parks_and_protected_lands_line.cpg,Landda_develop_data,shapefiles,,,.cpg,5,NaturalEarth,natural_earth,cultural,inputs,
ne_10m_admin_1_states_provinces_scale_rank_minor_islands.prj,Landda_develop_data,shapefiles,,,.prj,145,NaturalEarth,natural_earth,cultural,inputs,
