Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Sub-Category 4,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes)
ufs_land_restart_back.2016-01-02_18-00-00.nc,restarts,cycle_land,mem000,DA_GHCN_test,vector,,,.nc,13816008
ufs_land_restart_anal.2016-01-02_18-00-00.nc,restarts,cycle_land,mem000,DA_GHCN_test,vector,,,.nc,13816008
ufs_land_restart_anal.2016-01-03_18-00-00.nc,restarts,cycle_land,mem000,DA_GHCN_test,vector,,,.nc,13816008
ufs_land_restart_anal.2016-01-01_18-00-00.nc,restarts,cycle_land,mem000,DA_GHCN_test,vector,,,.nc,13816008
ufs_land_restart_back.2016-01-03_18-00-00.nc,restarts,cycle_land,mem000,DA_GHCN_test,vector,,,.nc,13816008
ufs_land_restart_back.2016-01-04_18-00-00.nc,restarts,cycle_land,mem000,DA_GHCN_test,vector,,,.nc,13816008
