Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
C96.vegetation_greenness.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,525039,,C96,FV3_fix_tiled,input-data-20221101
C96.slope_type.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119550,,C96,FV3_fix_tiled,input-data-20221101
oro_C96.mx100.tile6.nc,input-data-20221101,NEMSfv3gfs,96,100,.nc,834883,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_type.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119480,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_color.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119613,,C96,FV3_fix_tiled,input-data-20221101
C96.substrate_temperature.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119595,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_color.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119613,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_type.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119480,,C96,FV3_fix_tiled,input-data-20221101
oro_C96.mx100.tile3.nc,input-data-20221101,NEMSfv3gfs,96,100,.nc,834883,,C96,FV3_fix_tiled,input-data-20221101
C96.maximum_snow_albedo.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119490,,C96,FV3_fix_tiled,input-data-20221101
C96.snowfree_albedo.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,1857404,,C96,FV3_fix_tiled,input-data-20221101
C96.maximum_snow_albedo.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119490,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_color.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119613,,C96,FV3_fix_tiled,input-data-20221101
C96.soil_color.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119613,,C96,FV3_fix_tiled,input-data-20221101
C96.snowfree_albedo.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,1857404,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_type.tile4.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119589,,C96,FV3_fix_tiled,input-data-20221101
C96.facsf.tile2.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119545,,C96,FV3_fix_tiled,input-data-20221101
C96.snowfree_albedo.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,1857404,,C96,FV3_fix_tiled,input-data-20221101
C96.facsf.tile3.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119545,,C96,FV3_fix_tiled,input-data-20221101
C96.vegetation_greenness.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,525039,,C96,FV3_fix_tiled,input-data-20221101
C96.facsf.tile5.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119545,,C96,FV3_fix_tiled,input-data-20221101
C96.snowfree_albedo.tile1.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,1857404,,C96,FV3_fix_tiled,input-data-20221101
C96.facsf.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119545,,C96,FV3_fix_tiled,input-data-20221101
C96.maximum_snow_albedo.tile6.nc,input-data-20221101,NEMSfv3gfs,96,,.nc,119490,,C96,FV3_fix_tiled,input-data-20221101
