Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version (YYYY),Sub-Category 1,Sub-Category 2,Sub-Category 3
C96.vegetation_type.tile5.nc,inputs,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,FV3_fix_tiled,
C96.substrate_temperature.tile5.nc,inputs,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_type.tile1.nc,inputs,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,FV3_fix_tiled,
C96.snowfree_albedo.tile1.nc,inputs,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_type.tile5.nc,inputs,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,FV3_fix_tiled,
C96.maximum_snow_albedo.tile4.nc,inputs,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_greenness.tile3.nc,inputs,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,FV3_fix_tiled,
C96.substrate_temperature.tile6.nc,inputs,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_color.tile6.nc,inputs,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,FV3_fix_tiled,
C96.slope_type.tile4.nc,inputs,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_type.tile4.nc,inputs,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_greenness.tile4.nc,inputs,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,FV3_fix_tiled,
C96.substrate_temperature.tile2.nc,inputs,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,FV3_fix_tiled,
C96.snowfree_albedo.tile3.nc,inputs,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,FV3_fix_tiled,
C96.substrate_temperature.tile3.nc,inputs,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,FV3_fix_tiled,
oro_C96.mx100.tile3.nc,inputs,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,FV3_fix_tiled,
C96.maximum_snow_albedo.tile1.nc,inputs,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_type.tile6.nc,inputs,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,FV3_fix_tiled,
oro_C96.mx100.tile1.nc,inputs,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,FV3_fix_tiled,
oro_C96.mx100.tile6.nc,inputs,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,FV3_fix_tiled,
oro_C96.mx100.tile4.nc,inputs,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_greenness.tile1.nc,inputs,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,FV3_fix_tiled,
C96.facsf.tile1.nc,inputs,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,FV3_fix_tiled,
C96.substrate_temperature.tile1.nc,inputs,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,FV3_fix_tiled,
C96.slope_type.tile1.nc,inputs,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,FV3_fix_tiled,
C96.snowfree_albedo.tile4.nc,inputs,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_greenness.tile2.nc,inputs,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,FV3_fix_tiled,
C96.facsf.tile2.nc,inputs,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,FV3_fix_tiled,
C96.maximum_snow_albedo.tile2.nc,inputs,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,FV3_fix_tiled,
oro_C96.mx100.tile5.nc,inputs,input-data-20221101,96,100,.nc,834883,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_type.tile2.nc,inputs,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,FV3_fix_tiled,
C96.maximum_snow_albedo.tile3.nc,inputs,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_color.tile2.nc,inputs,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,FV3_fix_tiled,
C96.substrate_temperature.tile4.nc,inputs,input-data-20221101,96,,.nc,119595,,NEMSfv3gfs,FV3_fix_tiled,
C96.facsf.tile3.nc,inputs,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,FV3_fix_tiled,
C96.snowfree_albedo.tile5.nc,inputs,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,FV3_fix_tiled,
C96.maximum_snow_albedo.tile5.nc,inputs,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_type.tile2.nc,inputs,input-data-20221101,96,,.nc,119480,,NEMSfv3gfs,FV3_fix_tiled,
C96.facsf.tile6.nc,inputs,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,FV3_fix_tiled,
C96.slope_type.tile2.nc,inputs,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_color.tile4.nc,inputs,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_type.tile3.nc,inputs,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_type.tile6.nc,inputs,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_type.tile4.nc,inputs,input-data-20221101,96,,.nc,119589,,NEMSfv3gfs,FV3_fix_tiled,
C96.slope_type.tile6.nc,inputs,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,FV3_fix_tiled,
C96.snowfree_albedo.tile2.nc,inputs,input-data-20221101,96,,.nc,1857404,,NEMSfv3gfs,FV3_fix_tiled,
C96.facsf.tile5.nc,inputs,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,FV3_fix_tiled,
C96.slope_type.tile3.nc,inputs,input-data-20221101,96,,.nc,119550,,NEMSfv3gfs,FV3_fix_tiled,
C96.maximum_snow_albedo.tile6.nc,inputs,input-data-20221101,96,,.nc,119490,,NEMSfv3gfs,FV3_fix_tiled,
C96.vegetation_greenness.tile6.nc,inputs,input-data-20221101,96,,.nc,525039,,NEMSfv3gfs,FV3_fix_tiled,
C96.soil_color.tile3.nc,inputs,input-data-20221101,96,,.nc,119613,,NEMSfv3gfs,FV3_fix_tiled,
C96.facsf.tile4.nc,inputs,input-data-20221101,96,,.nc,119545,,NEMSfv3gfs,FV3_fix_tiled,
clmforc.GSWP3.c2011.0.5x0.5.Prec.2000-01.nc,inputs,input-data-20221101,,,.nc,259202484,,NEMSfv3gfs,DATM_GSWP3_input_data,
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.1999-12.nc,inputs,input-data-20221101,,,.nc,1287709152,,NEMSfv3gfs,DATM_GSWP3_input_data,
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.SCRIP.210520_ESMFmesh.nc,inputs,input-data-20221101,,,.nc,16601532,,NEMSfv3gfs,DATM_GSWP3_input_data,
clmforc.GSWP3.c2011.0.5x0.5.Solr.1999-12.nc,inputs,input-data-20221101,,,.nc,259202520,,NEMSfv3gfs,DATM_GSWP3_input_data,
topodata_0.9x1.SCRIP.210520_ESMFmesh.nc,inputs,input-data-20221101,,,.nc,3547832,,NEMSfv3gfs,DATM_GSWP3_input_data,
topodata_0.9x1.25_USGS_070110_stream_c151201.nc,inputs,input-data-20221101,,,.nc,1992888,,NEMSfv3gfs,DATM_GSWP3_input_data,
fv1.9x2.5_141008_ESMFmesh.nc,inputs,input-data-20221101,,,.nc,846588,,NEMSfv3gfs,DATM_GSWP3_input_data,
clmforc.GSWP3.c2011.0.5x0.5.TPQWL.2000-01.nc,inputs,input-data-20221101,,,.nc,1287709152,,NEMSfv3gfs,DATM_GSWP3_input_data,
clmforc.GSWP3.c2011.0.5x0.5.Solr.2000-01.nc,inputs,input-data-20221101,,,.nc,259202520,,NEMSfv3gfs,DATM_GSWP3_input_data,
clmforc.GSWP3.c2011.0.5x0.5.Prec.1999-12.nc,inputs,input-data-20221101,,,.nc,259202484,,NEMSfv3gfs,DATM_GSWP3_input_data,
ufs.cpld.lnd.out.2000-01-02-00000.tile3.nc,inputs,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,INTEL,
ufs.cpld.lnd.out.2000-01-02-00000.tile6.nc,inputs,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,INTEL,
ufs.cpld.lnd.out.2000-01-02-00000.tile1.nc,inputs,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,INTEL,
ufs.cpld.lnd.out.2000-01-02-00000.tile2.nc,inputs,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,INTEL,
ufs.cpld.lnd.out.2000-01-02-00000.tile5.nc,inputs,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,INTEL,
ufs.cpld.lnd.out.2000-01-02-00000.tile4.nc,inputs,develop-20230816,,,.nc,11555364,,NEMSfv3gfs,INTEL,
ne_10m_admin_1_states_provinces_scale_rank.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces_scale_rank.dbf,inputs,shapefiles,,,.dbf,2832,,NaturalEarth,natural_earth,
ne_50m_admin_0_sovereignty.prj,inputs,shapefiles,,,.prj,143,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces.shp,inputs,shapefiles,,,.shp,537436,,NaturalEarth,natural_earth,
ne_10m_populated_places.shp,inputs,shapefiles,,,.shp,205704,,NaturalEarth,natural_earth,
ne_10m_admin_0_disputed_areas.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_admin_0_scale_rank.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_0_sovereignty.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_populated_places_simple.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_10m_admin_0_seams.shp,inputs,shapefiles,,,.shp,22660,,NaturalEarth,natural_earth,
ne_10m_time_zones.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
