Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,Category,Sub-Category,Dataset,File Size (Bytes),Version
gfs_data.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,36363871,
gfs_data.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,36363871,
gfs_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,36363871,
grid.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,12958876,
grid.nest03.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,12958876,
grid.nest04.tile9.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,29106076,
grid.nest05.tile10.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,29106076,
grid_spec.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,28861,
oro_data.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4628354,
oro_data.nest03.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4628354,
oro_data.nest04.tile9.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,10388354,
oro_data.nest05.tile10.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,10388354,
oro_data.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,757634,
oro_data.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,757634,
oro_data.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,757634,
oro_data.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,757634,
oro_data.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,757634,
oro_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,757634,
oro_data_ls.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,2766544,
oro_data_ls.nest03.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,2766544,
oro_data_ls.nest04.tile9.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,6222544,
oro_data_ls.nest05.tile10.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,6222464,
oro_data_ls.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444112,
oro_data_ls.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444112,
oro_data_ls.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444112,
oro_data_ls.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444112,
oro_data_ls.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444112,
oro_data_ls.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444112,
oro_data_ss.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,2766500,
oro_data_ss.nest03.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,2766500,
oro_data_ss.nest04.tile9.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,6222500,
oro_data_ss.nest05.tile10.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,6222500,
oro_data_ss.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444068,
oro_data_ss.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444068,
oro_data_ss.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444068,
oro_data_ss.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444068,
oro_data_ss.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444068,
oro_data_ss.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,444068,
sfc_data.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,29086607,
sfc_data.nest03.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,29086607,
sfc_data.nest04.tile9.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,65375567,
sfc_data.nest05.tile10.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,65375567,
sfc_data.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4699919,
sfc_data.tile10.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,65375567,
sfc_data.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4699919,
sfc_data.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4699919,
sfc_data.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4699919,
sfc_data.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4699919,
sfc_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_multiple_4nests_atm,input-data-20221101,4699919,
C96_grid.tile1.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
C96_grid.tile2.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
C96_grid.tile3.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
C96_grid.tile4.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
C96_grid.tile5.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
C96_grid.tile6.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
C96_grid.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1190814,
gfs_ctrl.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,7545,
gfs_data.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,20484703,
gfs_data.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,36363871,
gfs_data.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,36363871,
gfs_data.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,36363871,
gfs_data.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,36363871,
gfs_data.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,36363871,
gfs_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,36363871,
gfs_data.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,20484703,
grid.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1190814,
grid_spec.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,24718,
facsf.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1004281,
grid.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,18643567,
grid.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2097772,
maximum_snow_albedo.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1004226,
oro_data.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,6655874,
oro_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data_ls.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,15926992,
oro_data_ls.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ss.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,15926948,
oro_data_ss.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
slope_type.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1004286,
snowfree_albedo.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,16603004,
soil_type.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1004216,
substrate_temperature.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1004331,
vegetation_greenness.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4653807,
vegetation_type.tile6.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1004222,
oro_data.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,435074,
oro_data.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,757634,
oro_data.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,435074,
oro_data_ls.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1556944,
oro_data_ls.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ls.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ls.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ls.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ls.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ls.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771216,
oro_data_ls.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1556944,
oro_data_ss.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1556900,
oro_data_ss.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
oro_data_ss.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
oro_data_ss.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
oro_data_ss.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
oro_data_ss.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
oro_data_ss.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1771172,
oro_data_ss.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,1556900,
sfc_data.nest02.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2667599,
sfc_data.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4699919,
sfc_data.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4699919,
sfc_data.tile3.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4699919,
sfc_data.tile4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4699919,
sfc_data.tile5.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4699919,
sfc_data.tile6.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,4699919,
sfc_data.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_global_storm_following_1nest_atm,input-data-20221101,2667599,
C96_grid.tile7.halo0.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,12958876,
C96_grid.tile7.halo3.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,13613020,
C96_grid.tile7.halo4.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,13834652,
C96_grid.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,13613020,
C96_mosaic.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,15961,
C96_oro_data.tile7.halo0.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,4628354,
C96_oro_data.tile7.halo3.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,4861634,
C96_oro_data.tile7.halo4.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,4940674,
C96_oro_data_ls.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,3049936,
C96_oro_data_ss.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,3049892,
gfs_bndy.tile7.000.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,50429381,
gfs_bndy.tile7.003.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,50429791,
gfs_bndy.tile7.006.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,50429791,
gfs_ctrl.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,7545,
gfs_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,226761823,
gfs_data.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,509992543,
grid.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,29106076,
grid.tile7.halo0.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,12958876,
grid.tile7.halo4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,13834652,
grid_spec.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,15961,
oro_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,4628354,
oro_data.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,10388354,
oro_data.tile7.halo4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,4940674,
oro_data_ls.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,3049936,
oro_data_ls.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,6222544,
oro_data_ls.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,6222544,
oro_data_ss.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,3049892,
oro_data_ss.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,6222500,
oro_data_ss.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,6222500,
sfc_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,29086607,
sfc_data.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_1nest_atm,input-data-20221101,65375567,
C192_grid.tile7.halo0.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,96891655,
C192_grid.tile7.halo3.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,98674759,
C192_grid.tile7.halo4.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,99272711,
C192_grid.tile7.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,98674759,
C192_mosaic.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,9374,
C192_oro_data.tile7.halo0.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,34580354,
C192_oro_data.tile7.halo3.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,35216834,
C192_oro_data.tile7.halo4.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,35430274,
C192_oro_data_ls.tile7.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,21504976,
C192_oro_data_ss.tile7.nc,FV3_hafs_input_data,192,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,21504932,
gfs_bndy.tile7.000.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,193920005,
gfs_bndy.tile7.003.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,193920415,
gfs_bndy.tile7.006.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,193920415,
gfs_ctrl.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,7977,
gfs_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,2399471263,
grid.tile7.halo0.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,96891655,
grid.tile7.halo4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,99272711,
grid_spec.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,9374,
oro_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,34580354,
oro_data.tile7.halo4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,35430274,
oro_data_ls.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,21504976,
oro_data_ss.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,21504932,
sfc_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_atm,input-data-20221101,217787567,
C96_grid.tile7.halo0.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,12958878,
C96_grid.tile7.halo3.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,13613022,
C96_grid.tile7.halo4.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,13834654,
C96_grid.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,13613022,
C96_grid.tile8.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,29106078,
C96_mosaic.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,15964,
C96_oro_data.tile7.halo0.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,4628354,
C96_oro_data.tile7.halo3.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,4861634,
C96_oro_data.tile7.halo4.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,4940674,
C96_oro_data_ls.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,3049936,
C96_oro_data_ss.tile7.nc,FV3_hafs_input_data,96,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,3049892,
gfs_bndy.tile7.000.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,50429381,
gfs_bndy.tile7.003.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,50429791,
gfs_bndy.tile7.006.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,50429791,
gfs_ctrl.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,7545,
gfs_data.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,226761823,
gfs_data.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,509992543,
gfs_data.tile7.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,226761823,
gfs_data.tile8.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,509992543,
grid.nest02.tile2.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,29106078,
grid.tile7.halo0.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,12958878,
grid.tile7.halo4.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,13834654,
grid_spec.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,15964,
facsf.tile1.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,6229753,
grid.tile1.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,116254879,
grid.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,12958878,
maximum_snow_albedo.tile1.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,6229698,
oro_data.tile1.3x.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,41492354,
oro_data.tile1.nc,FV3_hafs_input_data,,,,,.nc,,INPUT_hafs_regional_storm_following_1nest_atm,input-data-20221101,4628354,
