Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,Category,Sub-Category,Dataset,File Size (Bytes),Version
USA_mask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22955,2014-07
bad.USA_LANDMASK_NEI2011_0.1x0.1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,28693,2014-07
country_codes.csv,AQM,,,,,.csv,MASKS,NEXUS,input-data-20221101,26388,2014-07
countrymask_0.1x0.1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,0,2014-07
mx.usa.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23251,2014-07
sfca.gc.geos.4x5.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,17845,2014-07
tagged_CO_masks.generic.0.5x0.5.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,151991,2014-07
tagged_CO_masks.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,77060,2014-07
tagged_CO_masks.generic.2x2.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,63980,2014-07
uniform.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23049,2014-07
uniform.geos.4x5.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,21221,2014-07
usa.can.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22823,2014-07
usa.can.mex.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22880,2014-07
usa.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22867,2014-07
usa.mask.nei2008.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,17336,2014-07
usa.mex.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22901,2014-07
usa_mask.epa_nei_200411.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23364,2014-07
usa_mask.epa_nei_200411.geos.4x5.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,20891,2014-07
usa_mask.epa_nei_200806.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23579,2014-07
usa_mask.epa_nei_200806.geos.4x5.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,20871,2014-07
AF_LANDMASK.geos.05x0666.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22670,2018-09
BRAVO.MexicoMask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22821,2018-09
CONUS_Mask.001x001.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,11580671,2018-09
CONUS_Mask.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,566631,2018-09
CONUS_Mask.01x01.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,985488,2018-09
CONUS_Mask_Mirror.001x001.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,12809076,2018-09
CONUS_Mask_Mirror.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,582764,2018-09
Canada_Mask.001x001.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,12589774,2018-09
Canada_Mask.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,1712315,2018-09
Canada_Mask_Mirror.001x001.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,0,2018-09
Canada_Mask_Mirror.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,1794366,2018-09
Canada_mask.gen.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,24289,2018-09
Canada_mask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23172,2018-09
China_mask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22951,2018-09
EMEP_mask.geos.1x1.20151222.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,19610,2018-09
EU_mask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,19395,2018-09
India_mask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,21714,2018-09
MIX_Asia_mask.generic.025x025.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,45176,2018-09
Mexico_Mask.001x001.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,11486474,2018-09
Mexico_Mask.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,1423370,2018-09
Mexico_Mask_Mirror.001x001.global.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,12782966,2018-09
Mexico_Mask_Mirror.001x001.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,1562042,2018-09
OMI_HTAP_MASK.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,0,2018-09
OMI_HTAP_ZEROMASK_2019.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,311071263,2018-09
SE_Asia_mask.generic.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,23204,2018-09
USA_LANDMASK_NEI2011_0.1x0.1.20160921.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,39010,2018-09
USA_LANDMASK_NEI2016Beta_0.1x0.1.20160921.corrected.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,40189,2018-09
USA_LANDMASK_NEI2016Beta_0.1x0.1.20160921.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,39010,2018-09
USA_mask.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22955,2018-09
tagged_CO_masks.generic.0.5x0.5.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,151991,2018-09
usa.mask.nei2005.geos.1x1.nc,AQM,,,,,.nc,MASKS,NEXUS,input-data-20221101,22867,2018-09
NEI2016v1_0.1x0.1_20190801_afdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,121209339,2020-07
NEI2016v1_0.1x0.1_20190801_ag.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,12666287,2020-07
NEI2016v1_0.1x0.1_20190801_airports.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,177321478,2020-07
NEI2016v1_0.1x0.1_20190801_cmv_c1c2_12.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,15101815,2020-07
NEI2016v1_0.1x0.1_20190801_cmv_c3_12.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,20815449,2020-07
NEI2016v1_0.1x0.1_20190801_nonpt.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,366550750,2020-07
NEI2016v1_0.1x0.1_20190801_nonroad.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,332914936,2020-07
NEI2016v1_0.1x0.1_20190801_npoilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,73992457,2020-07
NEI2016v1_0.1x0.1_20190801_onroad.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,362842948,2020-07
NEI2016v1_0.1x0.1_20190801_onroadcaadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,25393111,2020-07
NEI2016v1_0.1x0.1_20190801_onroadcan.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,180058434,2020-07
NEI2016v1_0.1x0.1_20190801_onroadmex.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,46478343,2020-07
NEI2016v1_0.1x0.1_20190801_othafdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,67271220,2020-07
NEI2016v1_0.1x0.1_20190801_othar.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,251678836,2020-07
NEI2016v1_0.1x0.1_20190801_othpt.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,62176173,2020-07
NEI2016v1_0.1x0.1_20190801_othptdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,22691392,2020-07
NEI2016v1_0.1x0.1_20190801_pt_oilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,29350057,2020-07
NEI2016v1_0.1x0.1_20190801_pt_ptnonipm.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,67487443,2020-07
NEI2016v1_0.1x0.1_20190801_ptegu.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,14478440,2020-07
NEI2016v1_0.1x0.1_20190801_ptnonipm.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,122181783,2020-07
NEI2016v1_0.1x0.1_20190801_ptoilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,43868360,2020-07
NEI2016v1_0.1x0.1_20190801_rail.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,199167703,2020-07
NEI2016v1_0.1x0.1_20190801_rwc.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,246880647,2020-07
NEI2016v1_0.1x0.1_20190802_afdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,117916402,2020-07
NEI2016v1_0.1x0.1_20190802_ag.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,12665957,2020-07
NEI2016v1_0.1x0.1_20190802_airports.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,177322657,2020-07
NEI2016v1_0.1x0.1_20190802_cmv_c1c2_12.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,14270135,2020-07
NEI2016v1_0.1x0.1_20190802_cmv_c3_12.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,20843361,2020-07
NEI2016v1_0.1x0.1_20190802_nonpt.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,366550750,2020-07
NEI2016v1_0.1x0.1_20190802_nonroad.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,332914936,2020-07
NEI2016v1_0.1x0.1_20190802_npoilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,73992457,2020-07
NEI2016v1_0.1x0.1_20190802_onroad.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,362809362,2020-07
NEI2016v1_0.1x0.1_20190802_onroadcaadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,25393040,2020-07
NEI2016v1_0.1x0.1_20190802_onroadcan.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,180059506,2020-07
NEI2016v1_0.1x0.1_20190802_onroadmex.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,46481374,2020-07
NEI2016v1_0.1x0.1_20190802_othafdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,66302020,2020-07
NEI2016v1_0.1x0.1_20190802_othar.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,251676874,2020-07
NEI2016v1_0.1x0.1_20190802_othpt.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,62176173,2020-07
NEI2016v1_0.1x0.1_20190802_othptdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,25866786,2020-07
NEI2016v1_0.1x0.1_20190802_pt_oilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,29350057,2020-07
NEI2016v1_0.1x0.1_20190802_pt_ptnonipm.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,67487443,2020-07
NEI2016v1_0.1x0.1_20190802_ptegu.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,14406087,2020-07
NEI2016v1_0.1x0.1_20190802_ptnonipm.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,122181783,2020-07
NEI2016v1_0.1x0.1_20190802_ptoilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,43868360,2020-07
NEI2016v1_0.1x0.1_20190802_rail.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,199167703,2020-07
NEI2016v1_0.1x0.1_20190802_rwc.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,248033061,2020-07
NEI2016v1_0.1x0.1_20190803_afdustadj.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,117133865,2020-07
NEI2016v1_0.1x0.1_20190803_ag.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,12665248,2020-07
NEI2016v1_0.1x0.1_20190803_airports.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,177328859,2020-07
NEI2016v1_0.1x0.1_20190803_cmv_c1c2_12.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,13932782,2020-07
NEI2016v1_0.1x0.1_20190803_cmv_c3_12.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,21443007,2020-07
NEI2016v1_0.1x0.1_20190803_nonpt.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,366567064,2020-07
NEI2016v1_0.1x0.1_20190803_nonroad.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,332616569,2020-07
NEI2016v1_0.1x0.1_20190803_npoilgas.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,73992457,2020-07
NEI2016v1_0.1x0.1_20190803_onroad.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,362863266,2020-07
