Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Dataset Type
C96.soil_color.tile4.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119613,,FV3_fix_tiled
C96.vegetation_greenness.tile2.nc,UFS_WM,NAGAPE,C96,,96,,.nc,525039,,FV3_fix_tiled
C96.vegetation_type.tile2.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119589,,FV3_fix_tiled
C96.maximum_snow_albedo.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119490,,FV3_fix_tiled
C96.vegetation_greenness.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,525039,,FV3_fix_tiled
C96.soil_type.tile4.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119480,,FV3_fix_tiled
C96.facsf.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119545,,FV3_fix_tiled
C96.substrate_temperature.tile5.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119595,,FV3_fix_tiled
oro_C96.mx100.tile3.nc,UFS_WM,NAGAPE,C96,,96,100,.nc,834883,,FV3_fix_tiled
C96.substrate_temperature.tile6.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119595,,FV3_fix_tiled
C96.soil_type.tile2.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119480,,FV3_fix_tiled
C96.soil_type.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119480,,FV3_fix_tiled
C96.vegetation_type.tile5.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119589,,FV3_fix_tiled
C96.slope_type.tile3.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119550,,FV3_fix_tiled
oro_C96.mx100.tile2.nc,UFS_WM,NAGAPE,C96,,96,100,.nc,834883,,FV3_fix_tiled
C96.maximum_snow_albedo.tile6.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119490,,FV3_fix_tiled
C96.snowfree_albedo.tile5.nc,UFS_WM,NAGAPE,C96,,96,,.nc,1857404,,FV3_fix_tiled
C96.soil_type.tile1.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119480,,FV3_fix_tiled
C96.vegetation_type.tile1.nc,UFS_WM,NAGAPE,C96,,96,,.nc,119589,,FV3_fix_tiled
ufs-land_C96_init_fields.tile1.nc,UFS_WM,NAGAPE,,,96,,.nc,665156,,NOAHMP_IC
ufs-land_C96_init_fields.tile5.nc,UFS_WM,NAGAPE,,,96,,.nc,665156,,NOAHMP_IC
ufs-land_C96_init_fields.tile4.nc,UFS_WM,NAGAPE,,,96,,.nc,665156,,NOAHMP_IC
ufs-land_C96_init_fields.tile2.nc,UFS_WM,NAGAPE,,,96,,.nc,665156,,NOAHMP_IC
ufs-land_C96_init_fields.tile3.nc,UFS_WM,NAGAPE,,,96,,.nc,665156,,NOAHMP_IC
ufs-land_C96_init_fields.tile6.nc,UFS_WM,NAGAPE,,,96,,.nc,665156,,NOAHMP_IC
VEGPARM.TBL,UFS_WM,NAGAPE,,,,,.TBL,2364,,FV3_input_data
global_slmask.t1534.3072.1536.grb,UFS_WM,NAGAPE,,,,,.grb,2359380,,FV3_input_data
oro_data.tile2.nc,UFS_WM,NAGAPE,ORO_FLAKE,,,,.nc,829786,,FV3_input_data
oro_data.tile4.nc,UFS_WM,NAGAPE,ORO_FLAKE,,,,.nc,829786,,FV3_input_data
oro_data.tile6.nc,UFS_WM,NAGAPE,ORO_FLAKE,,,,.nc,829786,,FV3_input_data
oro_data.tile3.nc,UFS_WM,NAGAPE,ORO_FLAKE,,,,.nc,829786,,FV3_input_data
oro_data.tile5.nc,UFS_WM,NAGAPE,ORO_FLAKE,,,,.nc,829786,,FV3_input_data
oro_data.tile1.nc,UFS_WM,NAGAPE,ORO_FLAKE,,,,.nc,829786,,FV3_input_data
global_snowfree_albedo.bosu.t126.384.190.rg.grb,UFS_WM,NAGAPE,,,,,.grb,1919712,,FV3_input_data
DETAMPNEW_DATA.expanded_rain_LE,UFS_WM,NAGAPE,,,,,.expanded_rain_LE,86408,,FV3_input_data
oro_data_ss.tile4.nc,UFS_WM,NAGAPE,INPUT_L127_atm,,,,.nc,369108,,FV3_input_data
