Data File,Test Name,Compiler,Category,File Size (Bytes),Data Format,Dataset
GFSFLX.GrbF00,atmaero_control_p8,intel,,2759605,.GrbF00,develop-20231122
GFSFLX.GrbF24,atmaero_control_p8,intel,,6616763,.GrbF24,develop-20231122
GFSPRS.GrbF00,atmaero_control_p8,intel,,69287418,.GrbF00,develop-20231122
GFSPRS.GrbF24,atmaero_control_p8,intel,,68664565,.GrbF24,develop-20231122
20210323.060000.coupler.res,atmaero_control_p8,intel,RESTART,300,.res,develop-20231122
20210323.060000.fv_core.res.nc,atmaero_control_p8,intel,RESTART,20852,.nc,develop-20231122
20210323.060000.fv_core.res.tile1.nc,atmaero_control_p8,intel,RESTART,38041156,.nc,develop-20231122
20210323.060000.fv_core.res.tile2.nc,atmaero_control_p8,intel,RESTART,38041156,.nc,develop-20231122
20210323.060000.fv_core.res.tile3.nc,atmaero_control_p8,intel,RESTART,38041156,.nc,develop-20231122
20210323.060000.fv_core.res.tile4.nc,atmaero_control_p8,intel,RESTART,38041156,.nc,develop-20231122
20210323.060000.fv_core.res.tile5.nc,atmaero_control_p8,intel,RESTART,38041156,.nc,develop-20231122
20210323.060000.fv_core.res.tile6.nc,atmaero_control_p8,intel,RESTART,38041156,.nc,develop-20231122
20210323.060000.fv_srf_wnd.res.tile1.nc,atmaero_control_p8,intel,RESTART,97640,.nc,develop-20231122
20210323.060000.fv_srf_wnd.res.tile2.nc,atmaero_control_p8,intel,RESTART,97640,.nc,develop-20231122
20210323.060000.fv_srf_wnd.res.tile3.nc,atmaero_control_p8,intel,RESTART,97640,.nc,develop-20231122
20210323.060000.fv_srf_wnd.res.tile4.nc,atmaero_control_p8,intel,RESTART,97640,.nc,develop-20231122
20210323.060000.fv_srf_wnd.res.tile5.nc,atmaero_control_p8,intel,RESTART,97640,.nc,develop-20231122
20210323.060000.fv_srf_wnd.res.tile6.nc,atmaero_control_p8,intel,RESTART,97640,.nc,develop-20231122
20210323.060000.fv_tracer.res.tile1.nc,atmaero_control_p8,intel,RESTART,165318522,.nc,develop-20231122
20210323.060000.fv_tracer.res.tile2.nc,atmaero_control_p8,intel,RESTART,165318522,.nc,develop-20231122
20210323.060000.fv_tracer.res.tile3.nc,atmaero_control_p8,intel,RESTART,165318522,.nc,develop-20231122
20210323.060000.fv_tracer.res.tile4.nc,atmaero_control_p8,intel,RESTART,165318522,.nc,develop-20231122
20210323.060000.fv_tracer.res.tile5.nc,atmaero_control_p8,intel,RESTART,165318522,.nc,develop-20231122
20210323.060000.fv_tracer.res.tile6.nc,atmaero_control_p8,intel,RESTART,165318522,.nc,develop-20231122
20210323.060000.phy_data.tile1.nc,atmaero_control_p8,intel,RESTART,39334868,.nc,develop-20231122
